x,mu,std
0.00000,0.18372,0.29396
64.00000,0.30214,0.46727
128.00000,0.41819,0.63423
192.00000,0.52597,0.78794
256.00000,0.63673,0.93997
320.00000,0.73922,1.07667
384.00000,0.83573,1.19540
448.00000,0.93274,1.31357
512.00000,1.02225,1.40905
576.00000,1.11102,1.50212
640.00000,1.19817,1.59303
704.00000,1.28245,1.67624
768.00000,1.36634,1.76096
832.00000,1.44489,1.83196
896.00000,1.52100,1.89725
960.00000,1.59968,1.97474
1024.00000,1.67161,2.03710
1088.00000,1.74607,2.10146
1152.00000,1.81699,2.16161
1216.00000,1.88519,2.21366
1280.00000,1.95206,2.26919
1344.00000,2.02032,2.32506
1408.00000,2.08366,2.37319
1472.00000,2.14449,2.41992
1536.00000,2.20789,2.46620
1600.00000,2.26736,2.50681
1664.00000,2.32728,2.54996
1728.00000,2.39010,2.59587
1792.00000,2.45076,2.63622
1856.00000,2.50996,2.67524
1920.00000,2.56884,2.71408
1984.00000,2.62783,2.75370
2048.00000,2.68309,2.79026
2112.00000,2.73965,2.82803
2176.00000,2.79790,2.86826
2240.00000,2.85216,2.90444
2304.00000,2.90855,2.94106
2368.00000,2.96094,2.97463
2432.00000,3.01199,3.00703
2496.00000,3.06675,3.04056
2560.00000,3.11838,3.07394
2624.00000,3.17237,3.10750
2688.00000,3.22458,3.13961
2752.00000,3.27665,3.17144
2816.00000,3.32816,3.20391
2880.00000,3.37878,3.23520
2944.00000,3.42752,3.26634
3008.00000,3.47492,3.29492
3072.00000,3.52434,3.32614
3136.00000,3.57136,3.35291
3200.00000,3.61528,3.37714
3264.00000,3.66066,3.40274
3328.00000,3.70505,3.42672
3392.00000,3.74961,3.45164
3456.00000,3.79417,3.47788
3520.00000,3.83903,3.50246
3584.00000,3.88278,3.52698
3648.00000,3.92517,3.54897
3712.00000,3.96869,3.56944
3776.00000,4.01412,3.59531
3840.00000,4.05663,3.61765
3904.00000,4.10002,3.64108
3968.00000,4.14427,3.66357
4032.00000,4.18594,3.68582
4096.00000,4.22746,3.70773
4160.00000,4.26802,3.72985
4224.00000,4.31000,3.74998
4288.00000,4.34872,3.77164
4352.00000,4.38853,3.79113
4416.00000,4.42984,3.81666
4480.00000,4.47168,3.83720
4544.00000,4.50883,3.85764
4608.00000,4.54678,3.87760
4672.00000,4.58342,3.89487
4736.00000,4.62095,3.91200
4800.00000,4.65691,3.93032
4864.00000,4.69438,3.94852
4928.00000,4.73213,3.96645
4992.00000,4.77003,3.98411
5056.00000,4.80691,4.00314
5120.00000,4.84375,4.02003
5184.00000,4.87983,4.03573
5248.00000,4.91362,4.05371
5312.00000,4.94919,4.07242
5376.00000,4.98247,4.09155
5440.00000,5.01545,4.10703
5504.00000,5.04888,4.12297
5568.00000,5.08299,4.13784
5632.00000,5.11733,4.15480
5696.00000,5.15206,4.17015
5760.00000,5.18504,4.18440
5824.00000,5.21944,4.20082
5888.00000,5.25279,4.21621
5952.00000,5.28464,4.22848
6016.00000,5.31833,4.24403
6080.00000,5.35070,4.25678
6144.00000,5.38295,4.27211
6208.00000,5.41465,4.28392
6272.00000,5.44511,4.29610
6336.00000,5.47658,4.30867
6400.00000,5.50815,4.32114
6464.00000,5.53885,4.33529
6528.00000,5.57003,4.35095
6592.00000,5.60079,4.36460
6656.00000,5.63067,4.37726
6720.00000,5.66129,4.39026
6784.00000,5.68974,4.40122
6848.00000,5.71997,4.41382
6912.00000,5.74979,4.42586
6976.00000,5.78173,4.43883
7040.00000,5.81142,4.45193
7104.00000,5.84206,4.46362
7168.00000,5.86920,4.47433
7232.00000,5.89776,4.48549
7296.00000,5.92681,4.49436
7360.00000,5.95540,4.50537
7424.00000,5.98452,4.51760
7488.00000,6.01359,4.52867
7552.00000,6.04143,4.53908
7616.00000,6.06961,4.55001
7680.00000,6.09724,4.56255
7744.00000,6.12572,4.57520
7808.00000,6.15422,4.58783
7872.00000,6.18190,4.59733
7936.00000,6.21107,4.60797
8000.00000,6.23936,4.62058
8064.00000,6.26722,4.63132
8128.00000,6.29423,4.64253
8192.00000,6.32006,4.65437
8256.00000,6.34758,4.66599
8320.00000,6.37728,4.68015
8384.00000,6.40328,4.69131
8448.00000,6.42957,4.70123
8512.00000,6.45623,4.71213
8576.00000,6.48292,4.72209
8640.00000,6.50837,4.73101
8704.00000,6.53191,4.74007
8768.00000,6.55780,4.75011
8832.00000,6.58423,4.76037
8896.00000,6.61132,4.77281
8960.00000,6.63650,4.78254
9024.00000,6.66130,4.79206
9088.00000,6.68562,4.80226
9152.00000,6.71338,4.81654
9216.00000,6.73782,4.82697
9280.00000,6.76055,4.83587
9344.00000,6.78593,4.84624
9408.00000,6.81058,4.85660
9472.00000,6.83351,4.86321
9536.00000,6.85877,4.87350
9600.00000,6.88081,4.88169
9664.00000,6.90298,4.88975
9728.00000,6.92651,4.89829
9792.00000,6.95034,4.90766
9856.00000,6.97365,4.91579
9920.00000,6.99733,4.92884
9984.00000,7.01925,4.93535
10048.00000,7.04208,4.94376
10112.00000,7.06334,4.95214
10176.00000,7.08707,4.95973
10240.00000,7.11097,4.96970
10304.00000,7.13277,4.97885
10368.00000,7.15638,4.98742
10432.00000,7.17763,4.99494
10496.00000,7.20028,5.00380
10560.00000,7.22218,5.01328
10624.00000,7.24436,5.02128
10688.00000,7.26664,5.02884
10752.00000,7.29026,5.03860
10816.00000,7.31192,5.04637
10880.00000,7.33282,5.05533
10944.00000,7.35392,5.06141
11008.00000,7.37463,5.06983
11072.00000,7.39501,5.07686
11136.00000,7.41590,5.08619
11200.00000,7.43842,5.09467
11264.00000,7.46029,5.10230
11328.00000,7.48139,5.10971
11392.00000,7.50327,5.11772
11456.00000,7.52449,5.12673
11520.00000,7.54508,5.13494
11584.00000,7.56550,5.14127
11648.00000,7.58535,5.14755
11712.00000,7.60588,5.15387
11776.00000,7.62783,5.16061
11840.00000,7.64781,5.16805
11904.00000,7.66832,5.17514
11968.00000,7.68989,5.18172
12032.00000,7.71055,5.18900
12096.00000,7.73060,5.19682
12160.00000,7.75007,5.20447
12224.00000,7.77054,5.20960
12288.00000,7.79101,5.21690
12352.00000,7.81060,5.22392
12416.00000,7.82924,5.23021
12480.00000,7.84839,5.23483
12544.00000,7.86674,5.24280
12608.00000,7.88570,5.25002
12672.00000,7.90506,5.25718
12736.00000,7.92418,5.26431
12800.00000,7.94395,5.27094
12864.00000,7.96293,5.27755
12928.00000,7.98162,5.28463
12992.00000,8.00002,5.29042
13056.00000,8.01982,5.29804
13120.00000,8.03860,5.30438
13184.00000,8.05759,5.31338
13248.00000,8.07739,5.32075
13312.00000,8.09717,5.32824
13376.00000,8.11549,5.33595
13440.00000,8.13477,5.34391
13504.00000,8.15354,5.34929
13568.00000,8.17185,5.35599
13632.00000,8.19006,5.36233
13696.00000,8.20869,5.36680
13760.00000,8.22677,5.37268
13824.00000,8.24454,5.37819
13888.00000,8.26187,5.38254
13952.00000,8.27947,5.38839
14016.00000,8.29769,5.39446
14080.00000,8.31605,5.40175
14144.00000,8.33343,5.40720
14208.00000,8.35159,5.41335
14272.00000,8.36883,5.41869
14336.00000,8.38504,5.42364
14400.00000,8.40276,5.42865
14464.00000,8.41978,5.43208
14528.00000,8.43659,5.43713
14592.00000,8.45489,5.44385
14656.00000,8.47207,5.44977
14720.00000,8.49023,5.45629
14784.00000,8.50817,5.46342
14848.00000,8.52486,5.46824
14912.00000,8.54191,5.47318
14976.00000,8.55860,5.47866
15040.00000,8.57395,5.48381
15104.00000,8.59044,5.48733
15168.00000,8.60524,5.49124
15232.00000,8.62171,5.49685
15296.00000,8.63845,5.50343
15360.00000,8.65584,5.50994
15424.00000,8.67232,5.51546
15488.00000,8.68992,5.52319
15552.00000,8.70568,5.52810
15616.00000,8.72221,5.53399
15680.00000,8.73905,5.53998
15744.00000,8.75470,5.54624
15808.00000,8.77071,5.55123
15872.00000,8.78692,5.55557
15936.00000,8.80295,5.56136
16000.00000,8.82079,5.56663
16064.00000,8.83652,5.57155
16128.00000,8.85333,5.57645
16192.00000,8.86882,5.58028
16256.00000,8.88438,5.58561
16320.00000,8.90161,5.59350
16384.00000,8.91789,5.59826
16448.00000,8.93481,5.60410
16512.00000,8.95032,5.60832
16576.00000,8.96624,5.61297
16640.00000,8.98175,5.61646
16704.00000,8.99890,5.62173
16768.00000,9.01417,5.62720
16832.00000,9.03037,5.63251
16896.00000,9.04566,5.63669
16960.00000,9.06142,5.64097
17024.00000,9.07667,5.64436
17088.00000,9.09064,5.64873
17152.00000,9.10610,5.65275
17216.00000,9.12124,5.65697
17280.00000,9.13629,5.66052
17344.00000,9.15174,5.66645
17408.00000,9.16679,5.67145
17472.00000,9.18202,5.67787
17536.00000,9.19700,5.68333
17600.00000,9.21199,5.68837
17664.00000,9.22742,5.69326
17728.00000,9.24271,5.69777
17792.00000,9.25624,5.70094
17856.00000,9.27266,5.70743
17920.00000,9.28901,5.71210
17984.00000,9.30443,5.71692
18048.00000,9.31920,5.72170
18112.00000,9.33494,5.72803
18176.00000,9.34958,5.73270
18240.00000,9.36385,5.73652
18304.00000,9.37765,5.74070
