x,mu,std
0.00000,0.01511,0.02465
64.00000,0.02316,0.03488
128.00000,0.03080,0.04440
192.00000,0.03796,0.05331
256.00000,0.04513,0.06176
320.00000,0.05186,0.06972
384.00000,0.05815,0.07645
448.00000,0.06444,0.08300
512.00000,0.07030,0.08847
576.00000,0.07616,0.09398
640.00000,0.08183,0.09915
704.00000,0.08738,0.10408
768.00000,0.09288,0.10903
832.00000,0.09803,0.11332
896.00000,0.10310,0.11707
960.00000,0.10806,0.12088
1024.00000,0.11283,0.12453
1088.00000,0.11771,0.12818
1152.00000,0.12240,0.13167
1216.00000,0.12689,0.13461
1280.00000,0.13133,0.13779
1344.00000,0.13589,0.14097
1408.00000,0.14011,0.14383
1472.00000,0.14415,0.14651
1536.00000,0.14838,0.14918
1600.00000,0.15231,0.15133
1664.00000,0.15626,0.15366
1728.00000,0.16037,0.15601
1792.00000,0.16436,0.15821
1856.00000,0.16832,0.16042
1920.00000,0.17224,0.16255
1984.00000,0.17617,0.16467
2048.00000,0.17984,0.16653
2112.00000,0.18355,0.16837
2176.00000,0.18739,0.17039
2240.00000,0.19099,0.17224
2304.00000,0.19475,0.17416
2368.00000,0.19827,0.17593
2432.00000,0.20175,0.17766
2496.00000,0.20539,0.17939
2560.00000,0.20877,0.18098
2624.00000,0.21234,0.18255
2688.00000,0.21578,0.18408
2752.00000,0.21923,0.18557
2816.00000,0.22263,0.18718
2880.00000,0.22599,0.18854
2944.00000,0.22925,0.19001
3008.00000,0.23243,0.19138
3072.00000,0.23572,0.19283
3136.00000,0.23887,0.19414
3200.00000,0.24184,0.19527
3264.00000,0.24495,0.19668
3328.00000,0.24795,0.19787
3392.00000,0.25096,0.19902
3456.00000,0.25393,0.20027
3520.00000,0.25693,0.20139
3584.00000,0.25980,0.20242
3648.00000,0.26263,0.20339
3712.00000,0.26558,0.20436
3776.00000,0.26859,0.20545
3840.00000,0.27141,0.20640
3904.00000,0.27431,0.20745
3968.00000,0.27729,0.20845
4032.00000,0.28004,0.20936
4096.00000,0.28279,0.21023
4160.00000,0.28549,0.21109
4224.00000,0.28832,0.21192
4288.00000,0.29095,0.21281
4352.00000,0.29362,0.21360
4416.00000,0.29632,0.21453
4480.00000,0.29913,0.21532
4544.00000,0.30161,0.21610
4608.00000,0.30411,0.21682
4672.00000,0.30658,0.21750
4736.00000,0.30915,0.21817
4800.00000,0.31159,0.21895
4864.00000,0.31413,0.21967
4928.00000,0.31666,0.22029
4992.00000,0.31920,0.22086
5056.00000,0.32165,0.22154
5120.00000,0.32416,0.22225
5184.00000,0.32665,0.22288
5248.00000,0.32893,0.22360
5312.00000,0.33131,0.22421
5376.00000,0.33355,0.22487
5440.00000,0.33578,0.22542
5504.00000,0.33799,0.22589
5568.00000,0.34035,0.22643
5632.00000,0.34268,0.22705
5696.00000,0.34504,0.22759
5760.00000,0.34730,0.22801
5824.00000,0.34963,0.22856
5888.00000,0.35187,0.22903
5952.00000,0.35409,0.22948
6016.00000,0.35636,0.22994
6080.00000,0.35858,0.23029
6144.00000,0.36075,0.23072
6208.00000,0.36290,0.23104
6272.00000,0.36497,0.23141
6336.00000,0.36711,0.23180
6400.00000,0.36929,0.23231
6464.00000,0.37135,0.23265
6528.00000,0.37343,0.23314
6592.00000,0.37551,0.23344
6656.00000,0.37755,0.23378
6720.00000,0.37964,0.23402
6784.00000,0.38159,0.23431
6848.00000,0.38366,0.23461
6912.00000,0.38569,0.23493
6976.00000,0.38788,0.23532
7040.00000,0.38987,0.23569
7104.00000,0.39193,0.23590
7168.00000,0.39383,0.23619
7232.00000,0.39579,0.23651
7296.00000,0.39782,0.23668
7360.00000,0.39976,0.23692
7424.00000,0.40173,0.23721
7488.00000,0.40368,0.23737
7552.00000,0.40558,0.23754
7616.00000,0.40750,0.23781
7680.00000,0.40938,0.23806
7744.00000,0.41131,0.23836
7808.00000,0.41321,0.23859
7872.00000,0.41514,0.23877
7936.00000,0.41712,0.23896
8000.00000,0.41901,0.23913
8064.00000,0.42088,0.23925
8128.00000,0.42272,0.23950
8192.00000,0.42448,0.23971
8256.00000,0.42635,0.23990
8320.00000,0.42832,0.24013
8384.00000,0.43009,0.24030
8448.00000,0.43191,0.24050
8512.00000,0.43370,0.24062
8576.00000,0.43553,0.24075
8640.00000,0.43731,0.24093
8704.00000,0.43894,0.24102
8768.00000,0.44071,0.24117
8832.00000,0.44250,0.24129
8896.00000,0.44432,0.24145
8960.00000,0.44605,0.24164
9024.00000,0.44772,0.24180
9088.00000,0.44937,0.24196
9152.00000,0.45118,0.24214
9216.00000,0.45283,0.24229
9280.00000,0.45442,0.24245
9344.00000,0.45616,0.24254
9408.00000,0.45784,0.24272
9472.00000,0.45941,0.24272
9536.00000,0.46112,0.24283
9600.00000,0.46265,0.24297
9664.00000,0.46421,0.24305
9728.00000,0.46583,0.24310
9792.00000,0.46744,0.24321
9856.00000,0.46908,0.24336
9920.00000,0.47066,0.24352
9984.00000,0.47220,0.24351
10048.00000,0.47379,0.24360
10112.00000,0.47524,0.24364
10176.00000,0.47689,0.24369
10240.00000,0.47850,0.24375
10304.00000,0.48000,0.24387
10368.00000,0.48163,0.24398
10432.00000,0.48311,0.24400
10496.00000,0.48469,0.24409
10560.00000,0.48617,0.24410
10624.00000,0.48767,0.24412
10688.00000,0.48922,0.24418
10752.00000,0.49082,0.24420
10816.00000,0.49233,0.24426
10880.00000,0.49378,0.24442
10944.00000,0.49526,0.24434
11008.00000,0.49671,0.24442
11072.00000,0.49810,0.24439
11136.00000,0.49952,0.24444
11200.00000,0.50105,0.24450
11264.00000,0.50257,0.24455
11328.00000,0.50404,0.24457
11392.00000,0.50552,0.24461
11456.00000,0.50700,0.24468
11520.00000,0.50843,0.24472
11584.00000,0.50985,0.24475
11648.00000,0.51123,0.24473
11712.00000,0.51264,0.24473
11776.00000,0.51414,0.24467
11840.00000,0.51550,0.24467
11904.00000,0.51690,0.24468
11968.00000,0.51838,0.24463
12032.00000,0.51981,0.24459
12096.00000,0.52118,0.24458
12160.00000,0.52252,0.24463
12224.00000,0.52392,0.24456
12288.00000,0.52531,0.24449
12352.00000,0.52663,0.24446
12416.00000,0.52795,0.24448
12480.00000,0.52931,0.24443
12544.00000,0.53052,0.24437
12608.00000,0.53184,0.24443
12672.00000,0.53314,0.24447
12736.00000,0.53444,0.24446
12800.00000,0.53578,0.24443
12864.00000,0.53712,0.24441
12928.00000,0.53838,0.24440
12992.00000,0.53969,0.24448
13056.00000,0.54106,0.24443
13120.00000,0.54236,0.24443
13184.00000,0.54362,0.24437
13248.00000,0.54497,0.24437
13312.00000,0.54628,0.24433
13376.00000,0.54751,0.24425
13440.00000,0.54885,0.24418
13504.00000,0.55014,0.24414
13568.00000,0.55140,0.24413
13632.00000,0.55267,0.24413
13696.00000,0.55395,0.24398
13760.00000,0.55520,0.24386
13824.00000,0.55646,0.24379
13888.00000,0.55769,0.24382
13952.00000,0.55890,0.24381
14016.00000,0.56015,0.24379
14080.00000,0.56140,0.24377
14144.00000,0.56264,0.24381
14208.00000,0.56389,0.24374
14272.00000,0.56506,0.24370
14336.00000,0.56621,0.24362
14400.00000,0.56744,0.24354
14464.00000,0.56867,0.24344
14528.00000,0.56982,0.24337
14592.00000,0.57107,0.24334
14656.00000,0.57223,0.24322
14720.00000,0.57350,0.24321
14784.00000,0.57470,0.24317
14848.00000,0.57587,0.24313
14912.00000,0.57706,0.24303
14976.00000,0.57818,0.24295
15040.00000,0.57925,0.24290
15104.00000,0.58040,0.24271
15168.00000,0.58148,0.24264
15232.00000,0.58262,0.24256
15296.00000,0.58378,0.24246
15360.00000,0.58497,0.24241
15424.00000,0.58607,0.24235
15488.00000,0.58728,0.24236
15552.00000,0.58837,0.24224
15616.00000,0.58950,0.24212
15680.00000,0.59063,0.24198
15744.00000,0.59173,0.24194
15808.00000,0.59284,0.24187
15872.00000,0.59401,0.24183
15936.00000,0.59509,0.24173
16000.00000,0.59633,0.24164
16064.00000,0.59745,0.24157
16128.00000,0.59862,0.24145
16192.00000,0.59971,0.24130
16256.00000,0.60081,0.24127
16320.00000,0.60193,0.24120
16384.00000,0.60304,0.24111
16448.00000,0.60418,0.24103
16512.00000,0.60528,0.24091
16576.00000,0.60636,0.24078
16640.00000,0.60748,0.24066
16704.00000,0.60866,0.24051
16768.00000,0.60971,0.24040
16832.00000,0.61082,0.24029
16896.00000,0.61189,0.24015
16960.00000,0.61299,0.24005
17024.00000,0.61409,0.23997
17088.00000,0.61507,0.23990
17152.00000,0.61616,0.23984
17216.00000,0.61723,0.23977
17280.00000,0.61825,0.23957
17344.00000,0.61932,0.23954
17408.00000,0.62038,0.23945
17472.00000,0.62143,0.23934
17536.00000,0.62246,0.23922
17600.00000,0.62350,0.23916
17664.00000,0.62455,0.23900
17728.00000,0.62560,0.23888
17792.00000,0.62654,0.23875
17856.00000,0.62765,0.23866
17920.00000,0.62878,0.23857
17984.00000,0.62990,0.23845
18048.00000,0.63090,0.23837
18112.00000,0.63198,0.23826
18176.00000,0.63298,0.23810
18240.00000,0.63401,0.23797
18304.00000,0.63499,0.23791
18368.00000,0.63604,0.23778
18432.00000,0.63702,0.23770
18496.00000,0.63801,0.23757
18560.00000,0.63902,0.23740
18624.00000,0.64005,0.23726
18688.00000,0.64104,0.23720
18752.00000,0.64203,0.23709
18816.00000,0.64302,0.23697
18880.00000,0.64402,0.23686
18944.00000,0.64499,0.23672
19008.00000,0.64599,0.23664
19072.00000,0.64698,0.23646
19136.00000,0.64790,0.23627
19200.00000,0.64896,0.23620
19264.00000,0.64998,0.23607
19328.00000,0.65090,0.23588
19392.00000,0.65189,0.23572
19456.00000,0.65293,0.23545
19520.00000,0.65393,0.23540
19584.00000,0.65486,0.23526
19648.00000,0.65583,0.23514
19712.00000,0.65679,0.23501
19776.00000,0.65781,0.23492
19840.00000,0.65880,0.23472
19904.00000,0.65978,0.23461
