base,NES,Bandits,Ours
0,0.0,0.0,0.0
200,4.5,13.3,11.0
400,9.0,18.0,27.5
600,11.7,20.7,28.8
800,13.8,22.4,30.8
1000,15.7,24.0,32.3
1200,16.7,25.3,34.1
1400,17.6,26.2,36.4
1600,18.8,27.3,37.8
1800,19.3,28.0,38.3
2000,19.5,28.6,38.7
2200,20.1,28.9,39.4
2400,20.4,29.6,39.9
2600,20.9,30.2,40.1
2800,21.2,30.4,40.9
3000,21.3,30.9,41.2
3200,21.6,31.2,41.6
3400,22.1,31.5,42.1
3600,22.4,31.8,42.2
3800,22.6,31.9,42.7
4000,23.1,32.6,43.1
4200,23.3,32.7,43.6
4400,23.3,32.9,44.3
4600,23.5,33.2,44.8
4800,23.5,33.5,44.9
5000,23.7,33.5,45.5
5200,23.7,33.6,46.1
5400,23.8,33.9,46.3
5600,23.9,34.0,46.4
5800,24.1,34.2,46.5
6000,24.2,34.4,46.8
6200,24.4,34.6,46.8
6400,24.5,34.7,46.9
6600,24.9,35.0,46.9
6800,25.2,35.0,46.9
7000,25.5,35.1,46.9
7200,25.6,35.3,46.9
7400,25.9,35.5,46.9
7600,25.9,35.9,47.1
7800,26.0,36.2,47.1
8000,26.0,36.3,47.3
8200,26.3,36.3,47.3
8400,26.4,36.8,47.3
8600,26.5,36.9,47.3
8800,26.6,36.9,47.3
9000,26.6,36.9,47.3
9200,26.6,37.1,47.4
9400,27.0,37.1,47.4
9600,27.1,37.2,47.4
9800,27.2,37.2,47.4
10000,27.4,37.2,47.4
10200,27.4,37.3,47.4
10400,27.4,37.4,47.5
10600,27.5,37.4,47.5
10800,27.5,37.4,47.5
11000,27.5,37.6,47.6
11200,27.6,37.6,47.6
11400,27.6,37.6,47.6
11600,27.6,37.6,47.6
11800,27.7,37.7,47.6
12000,27.8,37.7,47.7
12200,27.9,37.8,47.7
12400,28.0,37.9,47.8
12600,28.2,37.9,47.8
12800,28.3,38.0,47.8
13000,28.3,38.1,47.8
13200,28.3,38.1,47.8
13400,28.3,38.1,47.8
13600,28.3,38.3,47.9
13800,28.3,38.3,47.9
14000,28.4,38.3,47.9
14200,28.4,38.4,47.9
14400,28.4,38.4,47.9
14600,28.5,38.4,47.9
14800,28.6,38.4,47.9
15000,28.6,38.5,47.9
15200,28.6,38.5,47.9
15400,28.6,38.5,48.0
15600,28.6,38.5,48.0
15800,28.7,38.6,48.0
16000,28.7,38.6,48.0
16200,28.7,38.6,48.0
16400,28.8,38.6,48.0
16600,28.8,38.6,48.0
16800,28.9,38.6,48.0
17000,29.0,38.6,48.0
17200,29.0,38.6,48.0
17400,29.0,38.6,48.0
17600,29.0,38.6,48.0
17800,29.0,38.6,48.0
18000,29.1,38.6,48.0
18200,29.1,38.6,48.0
18400,29.2,38.6,48.0
18600,29.2,38.6,48.0
18800,29.4,38.6,48.0
19000,29.5,38.6,48.0
19200,29.5,38.6,48.0
19400,29.5,38.6,48.0
19600,29.5,38.6,48.0
19800,29.5,38.6,48.0
20000,29.5,38.6,48.0
