x,ls,g,pgd
0.0000000000,12.5488100052,12.2790594101,12.2073030472
1.0000000000,11.6178436279,11.3374261856,11.5690975189
2.0000000000,11.2700729370,10.8885908127,11.2278919220
3.0000000000,10.7623424530,10.2125253677,10.8165035248
4.0000000000,9.6019868851,9.2941894531,9.6972036362
5.0000000000,9.4906539917,9.1876773834,9.1285896301
6.0000000000,9.1504859924,9.0683736801,9.0362682343
7.0000000000,8.1630258560,8.1130809784,8.1586017609
8.0000000000,8.0854253769,7.9483809471,7.9700527191
9.0000000000,8.0143547058,7.7468862534,7.7580146790
10.0000000000,7.8370800018,7.6936326027,7.7193579674
11.0000000000,7.6211714745,7.5994405746,7.6135964394
12.0000000000,7.4098629951,7.3676214218,7.4313654900
13.0000000000,6.7635512352,6.5865788460,6.7358283997
14.0000000000,6.2668395042,6.2345752716,6.2489409447
15.0000000000,6.2554254532,6.1954383850,6.2093739510
16.0000000000,6.2233119011,6.1664295197,6.2026968002
17.0000000000,5.7291717529,5.7143936157,5.6887378693
18.0000000000,5.4273819923,5.3754997253,5.3537006378
19.0000000000,5.3625807762,5.3026700020,5.3090124130
20.0000000000,5.2255249023,5.2102499008,5.1983270645
21.0000000000,5.1153197289,4.9862275124,5.0256166458
22.0000000000,4.9221000671,4.8970866203,4.9362154007
23.0000000000,4.7716479301,4.6018924713,4.7089819908
24.0000000000,4.5443840027,4.4366941452,4.5017781258
25.0000000000,4.4867463112,4.4193983078,4.3918380737
26.0000000000,4.4171471596,4.4010915756,4.3025355339
27.0000000000,4.2913279533,4.2782692909,4.2712130547
28.0000000000,4.2828445435,4.2752699852,4.2671160698
29.0000000000,4.1184220314,3.8747854233,4.0540409088
30.0000000000,3.8852784634,3.8743293285,3.8574848175
31.0000000000,3.7832703590,3.7654461861,3.7446761131
32.0000000000,3.4140746593,3.1052391529,3.1959297657
33.0000000000,3.2018089294,3.0521755219,3.1274969578
34.0000000000,2.7135658264,2.7079842091,2.7228832245
35.0000000000,2.6165776253,2.6046514511,2.5886919498
36.0000000000,2.4690544605,2.2760939598,2.2764987946
37.0000000000,2.2990801334,2.2609941959,2.2571303844
38.0000000000,2.2690482140,2.1225407124,2.0975835323
39.0000000000,2.1722576618,1.7009979486,1.8239773512
40.0000000000,1.7502800226,1.6633557081,1.7410376072
41.0000000000,1.7007937431,1.5821909904,1.6796737909
42.0000000000,1.6511914730,1.5202585459,1.5350576639
43.0000000000,1.4760928154,1.4442743063,1.4511666298
44.0000000000,1.4376713037,1.4157383442,1.4472064972
45.0000000000,1.4318223000,1.3838152885,1.3588525057
46.0000000000,1.3952598572,1.3352550268,1.3516594172
47.0000000000,1.3557974100,1.1672484875,1.2907433510
48.0000000000,0.9851219654,0.9629982710,0.9642390609
49.0000000000,0.9667013884,0.8988729715,0.8761503100
50.0000000000,0.9124119282,0.8829604983,0.8713848591
51.0000000000,0.7947478294,0.6909355521,0.6873206496
52.0000000000,0.7020269632,0.6681240797,0.6329632998
53.0000000000,0.6946515441,0.5745944977,0.6314138174
54.0000000000,0.6396343708,0.5629069805,0.6011718512
55.0000000000,0.4311172366,0.4123691916,0.4095951915
56.0000000000,0.4267775118,0.4078547060,0.3782396615
57.0000000000,0.3918289542,0.3834600151,0.3191094697
58.0000000000,0.3240556717,0.3168731034,0.2170425355
59.0000000000,0.2954839170,0.2530924678,0.1967090815
60.0000000000,0.1994201988,0.1833823025,0.1095164195
61.0000000000,0.1286585182,0.1068234444,0.0578727983
62.0000000000,0.0803442076,0.0583723150,0.0431330502
63.0000000000,0.0590439774,0.0416836701,0.0371276252
64.0000000000,0.0459969528,0.0375201553,0.0348774269
65.0000000000,0.0456608087,0.0348108821,0.0224955641
66.0000000000,0.0376689509,0.0332386866,0.0223544016
67.0000000000,0.0357520953,0.0277432948,0.0206882227
68.0000000000,0.0288263522,0.0277319308,0.0188546795
69.0000000000,0.0226821546,0.0217408016,0.0153884478
70.0000000000,0.0106194401,0.0096627614,0.0092303213
71.0000000000,0.0104023879,0.0088039571,0.0088368058
72.0000000000,0.0100930082,0.0076072998,0.0071179853
73.0000000000,0.0074308901,0.0072682961,0.0070701651
74.0000000000,0.0073049823,0.0072651007,0.0063061537
75.0000000000,0.0063747396,0.0058045872,0.0060233502
76.0000000000,0.0061906488,0.0057860981,0.0057663047
77.0000000000,0.0058662156,0.0056150570,0.0055069407
78.0000000000,0.0055114459,0.0054841782,0.0051338985
79.0000000000,0.0055061108,0.0046057571,0.0032319000
80.0000000000,0.0039863894,0.0031711787,0.0031527597
81.0000000000,0.0038372471,0.0031103350,0.0031341026
82.0000000000,0.0033047369,0.0029766322,0.0031122365
83.0000000000,0.0031360039,0.0028030889,0.0028461209
84.0000000000,0.0028570569,0.0026880107,0.0027818098
85.0000000000,0.0028458831,0.0024782680,0.0026828984
86.0000000000,0.0027860894,0.0022751419,0.0025366531
87.0000000000,0.0026921718,0.0021804625,0.0021815330
88.0000000000,0.0021747528,0.0021027853,0.0021001680
89.0000000000,0.0020946960,0.0019618091,0.0019461041
90.0000000000,0.0019615712,0.0019430107,0.0019375377
91.0000000000,0.0019309939,0.0015838710,0.0016951490
92.0000000000,0.0015620899,0.0015773248,0.0015766106
93.0000000000,0.0012652020,0.0012546057,0.0012848465
94.0000000000,0.0011562575,0.0011096994,0.0011575673
95.0000000000,0.0010706413,0.0010840974,0.0011258937
96.0000000000,0.0010275329,0.0010197922,0.0010338444
97.0000000000,0.0010186012,0.0009670348,0.0009845415
98.0000000000,0.0009614374,0.0009222545,0.0009733468
99.0000000000,0.0008275660,0.0008362610,0.0008411445
