x,ls,g
0.0000000000,0.6450771093,0.3969807327
1.0000000000,0.4543857574,0.1514091492
2.0000000000,0.4157287776,0.0985560417
3.0000000000,0.3660674095,0.0854218006
4.0000000000,0.3415069580,0.0717563629
5.0000000000,0.2865777016,0.0669522285
6.0000000000,0.1617845297,0.0360499322
7.0000000000,0.1161338091,0.0275602341
8.0000000000,0.1146116257,0.0275282860
9.0000000000,0.1045165062,0.0256557465
10.0000000000,0.0953165293,0.0252013206
11.0000000000,0.0949082375,0.0249571800
12.0000000000,0.0934796929,0.0227226615
13.0000000000,0.0897030830,0.0217990875
14.0000000000,0.0790653229,0.0207700729
15.0000000000,0.0788187981,0.0189635754
16.0000000000,0.0784413815,0.0168445110
17.0000000000,0.0746741295,0.0159595013
18.0000000000,0.0736813545,0.0141226593
19.0000000000,0.0643811226,0.0119228363
20.0000000000,0.0626659393,0.0115756392
21.0000000000,0.0596559867,0.0088886153
22.0000000000,0.0535683632,0.0081539154
23.0000000000,0.0487461090,0.0070562363
24.0000000000,0.0460515022,0.0052363668
25.0000000000,0.0443019867,0.0052203536
26.0000000000,0.0426058769,0.0036149025
27.0000000000,0.0421810150,0.0024734014
28.0000000000,0.0419497490,0.0018239473
29.0000000000,0.0404338837,0.0004995167
30.0000000000,0.0385942459,0.0004324401
31.0000000000,0.0362616181,0.0003925301
32.0000000000,0.0278856754,0.0001981310
33.0000000000,0.0277936459,0.0001471154
34.0000000000,0.0277228355,0.0000197934
35.0000000000,0.0271978378,0.0000157050
36.0000000000,0.0268061291,0.0000072604
37.0000000000,0.0249261856,0.0000054730
38.0000000000,0.0218963623,0.0000051123
39.0000000000,0.0211199522,0.0000026172
40.0000000000,0.0208829045,-0.0000010706
41.0000000000,0.0206151009,-0.0000019015
42.0000000000,0.0201148987,-0.0000048835
43.0000000000,0.0191420987,-0.0000063120
44.0000000000,0.0178985596,-0.0000140523
45.0000000000,0.0171823204,-0.0000161943
46.0000000000,0.0157284737,-0.0000227625
47.0000000000,0.0147063136,-0.0000302407
48.0000000000,0.0135892928,-0.0000328487
49.0000000000,0.0092424154,-0.0000430320
50.0000000000,0.0082205534,-0.0000583851
51.0000000000,0.0075750351,-0.0000607213
52.0000000000,0.0063307881,-0.0000622870
53.0000000000,0.0058791637,-0.0000734698
54.0000000000,0.0054855417,-0.0001178242
55.0000000000,0.0049462020,-0.0001761275
56.0000000000,0.0044240952,-0.0004082932
57.0000000000,0.0041379929,-0.0005015666
58.0000000000,0.0028639026,-0.0006136000
59.0000000000,0.0027296362,-0.0008589607
60.0000000000,0.0027111173,-0.0012407899
61.0000000000,0.0015655821,-0.0014493801
62.0000000000,0.0011711791,-0.0016387403
63.0000000000,0.0011619079,-0.0017404854
64.0000000000,0.0008746684,-0.0022363663
65.0000000000,0.0008626869,-0.0026929751
66.0000000000,0.0008336296,-0.0063424110
67.0000000000,0.0007031446,-0.0133267790
68.0000000000,0.0005413257,-0.0141558647
69.0000000000,0.0003607250,-0.0147991180
70.0000000000,0.0003277529,-0.0148990154
71.0000000000,0.0002494364,-0.0155045986
72.0000000000,0.0001869970,-0.0163180828
73.0000000000,0.0001672986,-0.0164043903
74.0000000000,0.0000999109,-0.0216717720
75.0000000000,0.0000728369,-0.0222578049
76.0000000000,0.0000685859,-0.0354282856
77.0000000000,0.0000340597,-0.0362672806
78.0000000000,0.0000237674,-0.0391287804
79.0000000000,0.0000154671,-0.0393891335
80.0000000000,0.0000092734,-0.0400396585
81.0000000000,-0.0000002377,-0.0455207825
82.0000000000,-0.0000008298,-0.0535025597
83.0000000000,-0.0000013098,-0.0583688021
84.0000000000,-0.0000054720,-0.0602159500
85.0000000000,-0.0000063116,-0.0633912086
86.0000000000,-0.0000065438,-0.0637440681
87.0000000000,-0.0000067803,-0.0643820763
88.0000000000,-0.0000119094,-0.0650839806
89.0000000000,-0.0000135786,-0.0685068369
90.0000000000,-0.0000145207,-0.1070895195
91.0000000000,-0.0000196445,-0.1234948635
92.0000000000,-0.0000552523,-0.1437542439
93.0000000000,-0.0074505806,-0.1492495537
94.0000000000,-0.0093173981,-0.1792554855
95.0000000000,-0.0141153336,-0.2316713333
96.0000000000,-0.0153841972,-0.2417863607
97.0000000000,-0.0215024948,-0.3393011093
98.0000000000,-0.0541610718,-0.4030141830
99.0000000000,-0.0952167511,-0.6039781570
100.0000000000,-0.0952167511,-0.6039781570
