base,NES,Bandits,Ours
0,0.0,0.0,0.0
100,3.07,23.57,19.62
200,6.55,31.27,28.81
300,10.8,36.79,39.29
400,14.86,40.97,46.66
500,18.05,45.04,51.7
600,21.55,48.24,55.77
700,25.22,51.11,59.08
800,28.03,53.66,62.39
900,30.77,56.18,65.07
1000,33.34,58.04,67.38
1100,35.54,59.82,69.31
1200,38.0,61.55,71.09
1300,39.87,62.95,72.55
1400,41.67,64.33,73.9
1500,43.08,65.69,75.03
1600,44.64,66.83,76.14
1700,46.12,67.87,77.14
1800,47.55,68.93,78.0
1900,48.68,69.9,78.84
2000,50.0,70.8,79.52
2100,51.14,71.71,80.32
2200,52.51,72.58,80.94
2300,53.42,73.37,81.6
2400,54.24,74.04,82.23
2500,54.85,74.73,82.75
2600,55.74,75.28,83.21
2700,56.44,75.81,83.72
2800,57.14,76.41,84.25
2900,57.77,76.86,84.72
3000,58.48,77.3,85.15
3100,58.96,77.67,85.57
3200,59.59,78.14,85.92
3300,60.17,78.59,86.28
3400,60.7,78.95,86.68
3500,61.16,79.42,87.09
3600,61.59,79.94,87.43
3700,61.98,80.45,87.81
3800,62.49,80.84,88.13
3900,62.96,81.14,88.47
4000,63.31,81.42,88.84
4100,63.82,81.85,89.08
4200,64.31,82.18,89.32
4300,64.67,82.45,89.5
4400,65.0,82.73,89.81
4500,65.31,83.0,90.03
4600,65.62,83.29,90.32
4700,65.93,83.56,90.57
4800,66.23,83.85,90.75
4900,66.43,84.09,90.93
5000,66.71,84.3,91.14
5100,66.93,84.49,91.35
5200,67.19,84.71,91.62
5300,67.52,84.96,91.75
5400,67.75,85.17,91.94
5500,67.97,85.44,92.07
5600,68.3,85.62,92.17
5700,68.59,85.8,92.33
5800,68.79,86.06,92.47
5900,68.94,86.23,92.66
6000,69.1,86.44,92.8
6100,69.25,86.64,92.98
6200,69.46,86.89,93.09
6300,69.69,87.08,93.18
6400,69.87,87.29,93.28
6500,70.04,87.45,93.38
6600,70.21,87.63,93.43
6700,70.45,87.76,93.59
6800,70.68,87.92,93.66
6900,70.87,88.15,93.77
7000,71.03,88.28,93.88
7100,71.21,88.37,93.93
7200,71.33,88.46,94.02
7300,71.49,88.63,94.11
7400,71.66,88.75,94.23
7500,71.82,88.84,94.33
7600,71.94,88.95,94.36
7700,72.13,89.11,94.43
7800,72.27,89.26,94.53
7900,72.4,89.34,94.57
8000,72.54,89.41,94.6
8100,72.75,89.6,94.68
8200,72.83,89.72,94.73
8300,73.0,89.81,94.78
8400,73.11,89.91,94.88
8500,73.2,89.97,94.95
8600,73.26,90.1,95.02
8700,73.44,90.19,95.06
8800,73.55,90.29,95.12
8900,73.65,90.4,95.2
9000,73.73,90.52,95.28
9100,73.87,90.57,95.35
9200,74.02,90.7,95.45
9300,74.13,90.78,95.51
9400,74.22,90.87,95.56
9500,74.39,90.98,95.66
9600,74.5,91.1,95.71
9700,74.56,91.15,95.76
9800,74.63,91.19,95.78
9900,74.67,91.24,95.8
10000,74.82,91.29,95.88
